id;timestamp;value;meter_port_id;created;last_modified
83056639;2015-09-20 08:00:05.989+02;46418415000;24;2015-09-20 08:00:06.047007+02;2015-09-20 08:00:06.047071+02
83056646;2015-09-20 08:00:09.698+02;6000;29;2015-09-20 08:00:09.772845+02;2015-09-20 08:00:09.77288+02
83056693;2015-09-20 08:00:38.44+02;25000;31;2015-09-20 08:00:38.513902+02;2015-09-20 08:00:38.513933+02
83056758;2015-09-20 08:00:40+02;46418420000;1294;2015-09-20 08:01:18.804986+02;2015-09-20 08:01:18.805037+02
83056740;2015-09-20 08:01:06.084+02;46418420000;24;2015-09-20 08:01:06.261833+02;2015-09-20 08:01:06.26187+02
83056746;2015-09-20 08:01:09.691+02;7000;29;2015-09-20 08:01:09.833597+02;2015-09-20 08:01:09.833631+02
83056778;2015-09-20 08:01:29.698+02;136756000;28;2015-09-20 08:01:29.736647+02;2015-09-20 08:01:29.73668+02
83056793;2015-09-20 08:01:38.445+02;25000;31;2015-09-20 08:01:38.519308+02;2015-09-20 08:01:38.519341+02
83056839;2015-09-20 08:02:05.995+02;-201000;25;2015-09-20 08:02:06.127551+02;2015-09-20 08:02:06.127585+02
83056837;2015-09-20 08:02:05.995+02;46418421000;24;2015-09-20 08:02:06.038642+02;2015-09-20 08:02:06.038708+02
83056872;2015-09-20 08:02:25.99+02;46418421000;24;2015-09-20 08:02:26.031632+02;2015-09-20 08:02:26.031667+02
83056878;2015-09-20 08:02:29.699+02;136756000;28;2015-09-20 08:02:29.738825+02;2015-09-20 08:02:29.738856+02
83056938;2015-09-20 08:03:06.014+02;46418421000;24;2015-09-20 08:03:06.096371+02;2015-09-20 08:03:06.096409+02
83056978;2015-09-20 08:03:29.699+02;7000;29;2015-09-20 08:03:29.7736+02;2015-09-20 08:03:29.773631+02
83056987;2015-09-20 08:03:35.938+02;21680;289;2015-09-20 08:03:35.995206+02;2015-09-20 08:03:35.995237+02
83057038;2015-09-20 08:04:05.994+02;-201000;25;2015-09-20 08:04:06.117568+02;2015-09-20 08:04:06.1176+02
83057072;2015-09-20 08:04:25.991+02;-193000;25;2015-09-20 08:04:26.091627+02;2015-09-20 08:04:26.091658+02
83057071;2015-09-20 08:04:25.991+02;46418421000;24;2015-09-20 08:04:26.034173+02;2015-09-20 08:04:26.034209+02
83057162;2015-09-20 08:04:39+02;1514324000;1296;2015-09-20 08:05:21.570519+02;2015-09-20 08:05:21.570552+02
83057161;2015-09-20 08:04:39+02;24878575000;1295;2015-09-20 08:05:21.513878+02;2015-09-20 08:05:21.513908+02
83057139;2015-09-20 08:05:05.997+02;-185000;25;2015-09-20 08:05:06.175577+02;2015-09-20 08:05:06.17561+02
83057136;2015-09-20 08:05:05.997+02;46418422000;24;2015-09-20 08:05:06.043961+02;2015-09-20 08:05:06.043995+02
83057172;2015-09-20 08:05:25.995+02;211000;25;2015-09-20 08:05:26.109509+02;2015-09-20 08:05:26.109539+02
83057171;2015-09-20 08:05:25.995+02;46418422000;24;2015-09-20 08:05:26.038402+02;2015-09-20 08:05:26.038436+02
